"Filter","M","EbN0","BER","QAM_label"
"Ideal AWGN",16,0,0.139160013571012,"16-QAM"
"Ideal AWGN",16,1,0.118345838849974,"16-QAM"
"Ideal AWGN",16,2,0.0975593523767089,"16-QAM"
"Ideal AWGN",16,3,0.0774154342655597,"16-QAM"
"Ideal AWGN",16,4,0.0586184574192509,"16-QAM"
"Ideal AWGN",16,5,0.0418923031812635,"16-QAM"
"Ideal AWGN",16,6,0.0278713063196607,"16-QAM"
"Ideal AWGN",16,7,0.0169667338966386,"16-QAM"
"Ideal AWGN",16,8,0.00924721373751743,"16-QAM"
"Ideal AWGN",16,9,0.00439033608734222,"16-QAM"
"Ideal AWGN",16,10,0.00175415061789272,"16-QAM"
"Ideal AWGN",16,11,0.000564706106481743,"16-QAM"
"Ideal AWGN",16,12,0.000138658688812619,"16-QAM"
"Ideal AWGN",16,13,2.42337854663158e-05,"16-QAM"
"Ideal AWGN",16,14,2.76320800168777e-06,"16-QAM"
"Ideal AWGN",16,15,1.84185551109449e-07,"16-QAM"
"Ideal AWGN",16,16,6.25020082774196e-09,"16-QAM"
"Ideal AWGN",16,17,1e-10,"16-QAM"
"Ideal AWGN",16,18,1e-10,"16-QAM"
"Ideal AWGN",16,19,1e-10,"16-QAM"
"Ideal AWGN",16,20,1e-10,"16-QAM"
"Ideal AWGN",16,21,1e-10,"16-QAM"
"Ideal AWGN",16,22,1e-10,"16-QAM"
"Ideal AWGN",16,23,1e-10,"16-QAM"
"Ideal AWGN",16,24,1e-10,"16-QAM"
"Ideal AWGN",16,25,1e-10,"16-QAM"
"Ideal AWGN",16,26,1e-10,"16-QAM"
"Ideal AWGN",16,27,1e-10,"16-QAM"
"Ideal AWGN",16,28,1e-10,"16-QAM"
"Ideal AWGN",16,29,1e-10,"16-QAM"
"Ideal AWGN",16,30,1e-10,"16-QAM"
"NGF",16,0,0.2325634765625,"16-QAM"
"NGF",16,1,0.23240234375,"16-QAM"
"NGF",16,2,0.232412109375,"16-QAM"
"NGF",16,3,0.232646484375,"16-QAM"
"NGF",16,4,0.23224609375,"16-QAM"
"NGF",16,5,0.23275390625,"16-QAM"
"NGF",16,6,0.232265625,"16-QAM"
"NGF",16,7,0.2324755859375,"16-QAM"
"NGF",16,8,0.2325048828125,"16-QAM"
"NGF",16,9,0.2321923828125,"16-QAM"
"NGF",16,10,0.2325927734375,"16-QAM"
"NGF",16,11,0.2324267578125,"16-QAM"
"NGF",16,12,0.23267578125,"16-QAM"
"NGF",16,13,0.2324658203125,"16-QAM"
"NGF",16,14,0.232431640625,"16-QAM"
"NGF",16,15,0.232236328125,"16-QAM"
"NGF",16,16,0.232431640625,"16-QAM"
"NGF",16,17,0.232490234375,"16-QAM"
"NGF",16,18,0.2323583984375,"16-QAM"
"NGF",16,19,0.232529296875,"16-QAM"
"NGF",16,20,0.2322802734375,"16-QAM"
"NGF",16,21,0.232080078125,"16-QAM"
"NGF",16,22,0.232275390625,"16-QAM"
"NGF",16,23,0.232548828125,"16-QAM"
"NGF",16,24,0.232802734375,"16-QAM"
"NGF",16,25,0.23267578125,"16-QAM"
"NGF",16,26,0.232216796875,"16-QAM"
"NGF",16,27,0.2319482421875,"16-QAM"
"NGF",16,28,0.2320361328125,"16-QAM"
"NGF",16,29,0.232373046875,"16-QAM"
"NGF",16,30,0.232578125,"16-QAM"
"RRC",16,0,0.221923828125,"16-QAM"
"RRC",16,1,0.2216455078125,"16-QAM"
"RRC",16,2,0.22125,"16-QAM"
"RRC",16,3,0.2219677734375,"16-QAM"
"RRC",16,4,0.22083984375,"16-QAM"
"RRC",16,5,0.2215185546875,"16-QAM"
"RRC",16,6,0.2208154296875,"16-QAM"
"RRC",16,7,0.221220703125,"16-QAM"
"RRC",16,8,0.221337890625,"16-QAM"
"RRC",16,9,0.22130859375,"16-QAM"
"RRC",16,10,0.2217578125,"16-QAM"
"RRC",16,11,0.221416015625,"16-QAM"
"RRC",16,12,0.2210546875,"16-QAM"
"RRC",16,13,0.2209521484375,"16-QAM"
"RRC",16,14,0.221767578125,"16-QAM"
"RRC",16,15,0.2210400390625,"16-QAM"
"RRC",16,16,0.2213134765625,"16-QAM"
"RRC",16,17,0.2214599609375,"16-QAM"
"RRC",16,18,0.2215625,"16-QAM"
"RRC",16,19,0.221552734375,"16-QAM"
"RRC",16,20,0.2219287109375,"16-QAM"
"RRC",16,21,0.2214306640625,"16-QAM"
"RRC",16,22,0.221845703125,"16-QAM"
"RRC",16,23,0.22171875,"16-QAM"
