"Filter","sigma","SC"
"NGF",0,99.4701333866415
"Sinc2",0,99.2355387299617
"TASM",0,99.4300198491046
"NGF",0.05,99.383838385944
"Sinc2",0.05,99.1307558725161
"TASM",0.05,99.2637874947252
"NGF",0.1,99.0602280946135
"Sinc2",0.1,98.8502608341769
"TASM",0.1,99.0702143123701
"NGF",0.2,98.0337363460307
"Sinc2",0.2,97.5926899145684
"TASM",0.2,98.0556888201774
"NGF",0.3,96.4333699595598
"Sinc2",0.3,95.4407888931217
"TASM",0.3,96.1391059979492
