"M","NGF","Sinc2","TASM"
4,67.9270833333333,67.859375,68.1302083333333
8,84.8802083333333,84.9895833333333,84.859375
16,92.8177083333333,93.125,93
32,96.703125,96.6927083333333,96.609375
64,98.2604166666667,98.3333333333333,98.328125
128,99.1875,99.2083333333333,99.1614583333333
256,99.5833333333333,99.546875,99.5989583333333
