"Filter","gamma_dB","CCDF"
"Unfiltered OFDM",8.75,0.743333333333333
"Unfiltered OFDM",9,0.612666666666667
"Unfiltered OFDM",9.25,0.475666666666667
"Unfiltered OFDM",9.5,0.352333333333333
"Unfiltered OFDM",9.75,0.251
"Unfiltered OFDM",10,0.17
"Unfiltered OFDM",10.25,0.097
"Unfiltered OFDM",10.5,0.0543333333333333
"Unfiltered OFDM",10.75,0.0283333333333333
"Unfiltered OFDM",11,0.0173333333333333
"Unfiltered OFDM",11.25,0.00933333333333333
"Unfiltered OFDM",11.5,0.00433333333333333
"Unfiltered OFDM",11.75,0.001
"Unfiltered OFDM",12,0.000666666666666667
"Unfiltered OFDM",12.25,0.000333333333333333
"Unfiltered OFDM",12.5,0.000333333333333333
"Unfiltered OFDM",12.75,0.000333333333333333
"Unfiltered OFDM",13,1e-05
"Unfiltered OFDM",13.25,1e-05
"Unfiltered OFDM",13.5,1e-05
"Unfiltered OFDM",13.75,1e-05
"Unfiltered OFDM",14,1e-05
