"Filter","freq","psd_lin","psd_dB"
"NGF",0,0.00127466974096441,-3.00650792834724
"NGF",0.000244140625,0.00254711450587099,0
"NGF",0.00048828125,0.00253930737678688,-0.0133319485547799
"NGF",0.000732421875,0.0025264513526516,-0.0353752894478879
"NGF",0.0009765625,0.00250879488557925,-0.0658331351461498
"NGF",0.001220703125,0.00248626838825295,-0.105004610150931
"NGF",0.00146484375,0.00245853215238834,-0.153725768541865
"NGF",0.001708984375,0.00242508955933559,-0.213206872995852
"NGF",0.001953125,0.00238543098568964,-0.284816129216295
"NGF",0.002197265625,0.00233916609227488,-0.369874092245593
"NGF",0.00244140625,0.00228610799773878,-0.469517261740275
"NGF",0.002685546875,0.00222629030143942,-0.584666748065316
"NGF",0.0029296875,0.00215992132225391,-0.716105374312366
"NGF",0.003173828125,0.00208730153038102,-0.864632776395895
"NGF",0.00341796875,0.00200874273169425,-1.03124150817633
"NGF",0.003662109375,0.00192452676429093,-1.2172451398583
"NGF",0.00390625,0.00183492728938015,-1.42429609543229
"NGF",0.004150390625,0.00174029513597248,-1.65425562808421
"NGF",0.00439453125,0.00164118307238024,-1.90891440284992
"NGF",0.004638671875,0.00153846796959649,-2.18960010361079
"NGF",0.0048828125,0.00143342326899405,-2.496740190046
"NGF",0.005126953125,0.00132770466755461,-2.82946987145198
"NGF",0.00537109375,0.00122323445867547,-3.18538762459382
"NGF",0.005615234375,0.00112199851325008,-3.56056187727707
"NGF",0.005859375,0.00102579598761647,-3.94987473171013
"NGF",0.006103515625,0.000935997684238864,-4.34773694921446
"NGF",0.00634765625,0.000853369782571573,-4.74911208539339
"NGF",0.006591796875,0.000778005061070447,-5.1506604700177
"NGF",0.0068359375,0.000709377874361642,-5.55170830553542
"NGF",0.007080078125,0.000646509297000413,-5.95473694620487
"NGF",0.00732421875,0.00058820317276284,-6.36521106410546
"NGF",0.007568359375,0.000533298999293231,-6.79077700415102
"NGF",0.0078125,0.000480886981780005,-7.24005448837641
"NGF",0.008056640625,0.000430443467205391,-7.72132348205759
"NGF",0.00830078125,0.000381866983855201,-8.24136358188174
"NGF",0.008544921875,0.00033541981768556,-8.80459750620594
"NGF",0.0087890625,0.000291600893113037,-9.41259619366735
"NGF",0.009033203125,0.000250987835633141,-10.0639579567729
"NGF",0.00927734375,0.000214087489903717,-10.7545717891536
"NGF",0.009521484375,0.000181225941974245,-11.4782810336729
"NGF",0.009765625,0.000152494730205171,-12.2279363323897
"NGF",0.010009765625,0.000127754016207517,-12.9967390721629
"NGF",0.01025390625,0.000106680302415342,-13.7796423101908
"NGF",0.010498046875,8.88386675710248e-05,-14.5744643292219
"NGF",0.0107421875,7.37583083905991e-05,-15.3823752133253
"NGF",0.010986328125,6.09944204258124e-05,-16.2075836020882
"NGF",0.01123046875,5.01668751237358e-05,-17.0563141934246
"NGF",0.011474609375,4.09741257895102e-05,-17.9353877279164
"NGF",0.01171875,3.31871037047708e-05,-18.8507911672751
"NGF",0.011962890625,2.66312987496617e-05,-19.8065612262986
"NGF",0.01220703125,2.11655963343224e-05,-20.8041796006955
"NGF",0.012451171875,1.6664483397545e-05,-21.8425661418274
"NGF",0.0126953125,1.30071209249991e-05,-22.9186729134318
"NGF",0.012939453125,1.00736954624608e-05,-24.0285965158992
"NGF",0.01318359375,7.74725545526474e-06,-25.1690059269294
"NGF",0.013427734375,5.91826325277479e-06,-26.3385418987751
"NGF",0.013671875,4.48924269104106e-06,-27.5387538492291
"NGF",0.013916015625,3.37777122053769e-06,-28.7741823809074
"NGF",0.01416015625,2.51716301837083e-06,-30.0513712660939
"NGF",0.014404296875,1.85511204279355e-06,-31.3767832443721
"NGF",0.0146484375,1.35109236389253e-06,-32.7536342972636
"NGF",0.014892578125,9.73421159136342e-07,-34.1774768695263
"NGF",0.01513671875,6.96689291055345e-07,-35.6300933420647
"NGF",0.015380859375,4.99923901035559e-07,-37.0714456858381
"NGF",0.015625,3.65519712789917e-07,-38.4313766537124
"NGF",0.015869140625,2.78755096592073e-07,-39.6082565265829
"NGF",0.01611328125,2.27622624504869e-07,-40.4883304268769
"NGF",0.016357421875,2.02728150738944e-07,-40.9913441035365
"NGF",0.0166015625,1.97099396657326e-07,-41.1136317430973
"NGF",0.016845703125,2.0584646328537e-07,-40.9250505952489
"NGF",0.01708984375,2.25698787477077e-07,-40.5251924324737
"NGF",0.017333984375,2.54490176371774e-07,-40.0037744646389
"NGF",0.017578125,2.90675019189279e-07,-39.4264075936041
"NGF",0.017822265625,3.32942853307915e-07,-38.8367877206723
"NGF",0.01806640625,3.79966965537658e-07,-38.2630262862638
"NGF",0.018310546875,4.30287473608243e-07,-37.7228976594453
"NGF",0.0185546875,4.82300262934911e-07,-37.2273097048298
"NGF",0.018798828125,5.34307021292863e-07,-36.7825758791343
"NGF",0.01904296875,5.84581130332658e-07,-36.3920367649249
"NGF",0.019287109375,6.31417522064061e-07,-36.0573183961661
