"Filter","sigma","PhaseDev"
"NGF",0,95.5524952715212
"Sinc2",0,94.9790085023327
"TASM",0,95.4016849745814
"NGF",0.05,95.0757166598476
"Sinc2",0.05,95.4230292337056
"TASM",0.05,95.1391935132072
"NGF",0.1,95.2447955079498
"Sinc2",0.1,95.0422436235872
"TASM",0.1,94.9857312779017
"NGF",0.2,94.8295516717786
"Sinc2",0.2,94.8245735527122
"TASM",0.2,95.1281396474081
"NGF",0.3,95.2452580725429
"Sinc2",0.3,95.0321972194977
"TASM",0.3,95.3594455097269
